,Street Address,Bed,Bath,Listing Area,Certificate,Jakarta Division,Price
8158,Pantai Indah Kapuk,3,3,120,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,3100000000.0
19251,Tanjung Priok,3,2,150,SHM - Sertifikat Hak Milik,NORTH,1400000000.0
17373,Duren Sawit,4,4,175,SHM - Sertifikat Hak Milik,EAST,3700000000.0
349,Menteng,3,2,69,SHM - Sertifikat Hak Milik,CENTRAL,800000000.0
5487,Pondok Labu,4,3,140,SHM - Sertifikat Hak Milik,SOUTH,1975000000.0
2211,Puri Mansion,3,3,300,SHM - Sertifikat Hak Milik,WEST,6300000000.0
20045,Kebon Jeruk,5,3,200,SHM - Sertifikat Hak Milik,WEST,2000000000.0
22219,Pantai Indah Kapuk,3,2,160,SHM - Sertifikat Hak Milik,NORTH,3950000000.0
15597,Kemayoran,3,3,220,SHM - Sertifikat Hak Milik,CENTRAL,1990000000.0
14576,Pantai Indah Kapuk,3,2,120,SHM - Sertifikat Hak Milik,NORTH,2985000000.0
13012,Pondok Ranggon,3,2,62,SHM - Sertifikat Hak Milik,EAST,770000000.0
6477,Lubang Buaya,2,1,38,SHM - Sertifikat Hak Milik,EAST,695000000.0
5279,Pondok Labu,4,3,280,SHM - Sertifikat Hak Milik,SOUTH,7000000000.0
2559,Meruya,3,2,120,SHM - Sertifikat Hak Milik,WEST,2550000000.0
3726,Tomang,4,3,200,SHM - Sertifikat Hak Milik,WEST,5400000000.0
13869,Pantai Indah Kapuk,3,3,200,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,3350000000.0
6029,Jatinegara,3,3,52,SHM - Sertifikat Hak Milik,EAST,835900000.0
12171,Sunrise,4,3,256,SHM - Sertifikat Hak Milik,WEST,3250000000.0
18174,Rawamangun,3,2,100,SHM - Sertifikat Hak Milik,EAST,1900000000.0
6728,Jakarta Garden City/JGC,3,3,58,PPJB - Perjanjian Pengikatan Jual Beli,EAST,1750000000.0
3027,Kebon Jeruk,3,3,180,SHM - Sertifikat Hak Milik,WEST,2500000000.0
1288,Menteng,5,2,175,SHM - Sertifikat Hak Milik,CENTRAL,4000000000.0
10105,Salemba,3,3,176,SHM - Sertifikat Hak Milik,CENTRAL,1450000000.0
593,Johar Baru,3,2,69,SHM - Sertifikat Hak Milik,CENTRAL,1551239000.0
3488,Cengkareng,4,3,136,SHM - Sertifikat Hak Milik,WEST,1200000000.0
11357,Cengkareng,2,2,240,SHM - Sertifikat Hak Milik,WEST,2175000000.0
6174,Cibubur,3,2,82,SHM - Sertifikat Hak Milik,EAST,1244000000.0
19478,Sudirman,3,2,88,SHM - Sertifikat Hak Milik,CENTRAL,899999000.0
