,Street Address,Bed,Bath,Listing Area,Certificate,Jakarta Division,Price
19598,Kemayoran,4,3,216,SHM - Sertifikat Hak Milik,CENTRAL,2100000000.0
20779,Radio Dalam,2,2,150,SHM - Sertifikat Hak Milik,SOUTH,2300000000.0
18052,Cakung,4,2,90,SHM - Sertifikat Hak Milik,EAST,1650000000.0
3015,Duri Kepa,4,3,300,SHM - Sertifikat Hak Milik,WEST,4300000000.0
12823,Cipinang,5,3,250,SHM - Sertifikat Hak Milik,EAST,3500000000.0
16583,Taman Sari,5,3,88,SHM - Sertifikat Hak Milik,WEST,2200000000.0
14895,Pantai Indah Kapuk,3,3,120,Strata,NORTH,4500000000.0
20257,Daan Mogot,4,4,325,SHM - Sertifikat Hak Milik,WEST,4900000000.0
7537,Cakung,3,2,69,SHM - Sertifikat Hak Milik,EAST,3700000000.0
11511,Kebon Jeruk,3,2,50,SHM - Sertifikat Hak Milik,WEST,645000011.0
14773,Pantai Indah Kapuk,2,2,48,SHM - Sertifikat Hak Milik,NORTH,2500000000.0
6431,Cakung,4,3,250,SHM - Sertifikat Hak Milik,EAST,4300000000.0
8784,Pantai Indah Kapuk,4,3,176,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,3200000000.0
20451,Kembangan,5,4,209,SHM - Sertifikat Hak Milik,WEST,2350000000.0
15338,Pantai Indah Kapuk,4,4,260,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,5500000000.0
2472,Tomang,4,4,200,SHM - Sertifikat Hak Milik,WEST,2750000000.0
10901,Palmerah,2,3,71,SHM - Sertifikat Hak Milik,WEST,1446102000.0
6536,Cipayung,3,2,75,SHM - Sertifikat Hak Milik,EAST,1200000000.0
19124,Sunter,3,2,150,SHM - Sertifikat Hak Milik,NORTH,2700000000.0
12986,Duren Sawit,3,2,145,SHGB - Hak Guna Bangunan,EAST,2500000000.0
20956,Jakarta Garden City/JGC,4,3,126,PPJB - Perjanjian Pengikatan Jual Beli,EAST,3800000000.0
8976,Pantai Indah Kapuk,3,3,100,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,3300000000.0
15628,Cideng,3,2,169,SHM - Sertifikat Hak Milik,CENTRAL,4000000000.0
16759,Kembangan,3,3,180,SHM - Sertifikat Hak Milik,WEST,3750000000.0
4892,Cilandak,4,4,191,SHM - Sertifikat Hak Milik,SOUTH,4800000000.0
18000,Pondok Kelapa,4,2,210,SHM - Sertifikat Hak Milik,EAST,3500000000.0
11598,Mangga Besar,2,3,204,SHM - Sertifikat Hak Milik,WEST,2300000000.0
22696,Sunter,4,3,200,SHM - Sertifikat Hak Milik,NORTH,4000000000.0
12755,Cijantung,4,4,130,SHM - Sertifikat Hak Milik,EAST,1650000000.0
19639,Cempaka Putih,4,3,88,SHM - Sertifikat Hak Milik,CENTRAL,1400000000.0
12230,Jelambar,5,4,139,SHM - Sertifikat Hak Milik,WEST,2480000000.0
18649,Kelapa Gading,4,3,216,SHM - Sertifikat Hak Milik,NORTH,5300000000.0
7851,Cijantung,3,2,85,SHM - Sertifikat Hak Milik,EAST,920000000.0
11327,Jelambar,3,2,240,SHM - Sertifikat Hak Milik,WEST,3450000000.0
13796,Duren Sawit,2,2,70,SHM - Sertifikat Hak Milik,EAST,1050000000.0
18996,Kelapa Gading,4,3,160,SHM - Sertifikat Hak Milik,NORTH,4000000000.0
6235,Cipinang,4,3,195,SHM - Sertifikat Hak Milik,EAST,3850000000.0
16394,Jl. Taman Palem Lestari,4,3,180,SHM - Sertifikat Hak Milik,WEST,2800000000.0
2544,Cengkareng,4,3,200,SHM - Sertifikat Hak Milik,WEST,3500000000.0
21406,Jatiwaringin,4,2,200,SHM - Sertifikat Hak Milik,EAST,3000000000.0
10422,Petojo Utara,3,2,69,SHM - Sertifikat Hak Milik,CENTRAL,1551239000.0
3064,Cengkareng,2,2,105,SHM - Sertifikat Hak Milik,WEST,2000000000.0
3,Cempaka Putih,2,2,58,SHM - Sertifikat Hak Milik,CENTRAL,1061321000.0
6108,Pondok Ranggon,4,3,116,SHM - Sertifikat Hak Milik,EAST,1700000000.0
8620,Pantai Indah Kapuk,4,3,280,SHM - Sertifikat Hak Milik,NORTH,4500000000.0
10458,Kemayoran,2,1,50,SHM - Sertifikat Hak Milik,CENTRAL,800000000.0
15019,Kelapa Gading,3,2,128,SHM - Sertifikat Hak Milik,NORTH,3750000000.0
20001,Cengkareng,4,3,100,SHM - Sertifikat Hak Milik,WEST,2200000000.0
20431,Joglo,3,3,110,PPJB - Perjanjian Pengikatan Jual Beli,WEST,3559800000.0
15376,Cempaka Putih,3,3,109,SHM - Sertifikat Hak Milik,CENTRAL,2250000000.0
16109,Cengkareng,3,2,120,SHM - Sertifikat Hak Milik,WEST,1450000000.0
4740,Jagakarsa,3,2,180,SHM - Sertifikat Hak Milik,SOUTH,1050000000.0
17943,Rawalumbu,2,1,45,SHM - Sertifikat Hak Milik,EAST,425000011.0
17984,Cipayung,3,2,160,SHM - Sertifikat Hak Milik,EAST,1800000000.0
11980,Tomang,4,3,180,SHM - Sertifikat Hak Milik,WEST,2600000000.0
21384,Condet,3,3,120,SHM - Sertifikat Hak Milik,EAST,950000000.0
22104,Pantai Indah Kapuk,2,2,120,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,1850000000.0
11541,Jelambar,4,2,200,PPJB - Perjanjian Pengikatan Jual Beli,WEST,3500000000.0
6462,Rawamangun,4,4,135,SHM - Sertifikat Hak Milik,EAST,2600000000.0
1230,Cempaka Putih,4,4,310,SHM - Sertifikat Hak Milik,CENTRAL,6750000000.0
16319,Cengkareng,3,2,97,PPJB - Perjanjian Pengikatan Jual Beli,WEST,1750000000.0
17891,Jatinegara,4,3,250,SHM - Sertifikat Hak Milik,EAST,2600000000.0
7450,Pondok Bambu,5,2,105,SHM - Sertifikat Hak Milik,EAST,950000000.0
15290,Pluit,2,2,150,SHM - Sertifikat Hak Milik,NORTH,4500000000.0
20621,Duri Kosambi,5,3,213,SHM - Sertifikat Hak Milik,WEST,3200000000.0
22408,Pantai Indah Kapuk,4,4,143,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,4510000000.0
16203,Taman Ratu,2,2,150,SHM - Sertifikat Hak Milik,WEST,1950000000.0
18818,Kelapa Gading,3,2,150,SHM - Sertifikat Hak Milik,NORTH,2900000000.0
5143,Kebagusan,4,4,140,SHM - Sertifikat Hak Milik,SOUTH,2000000000.0
3093,Taman Palem,3,2,93,SHM - Sertifikat Hak Milik,WEST,1900000000.0
18248,Cibubur,3,2,63,SHM - Sertifikat Hak Milik,EAST,1800000000.0
8341,Pantai Indah Kapuk,3,3,160,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,3950000000.0
15226,Sunter,4,3,200,SHM - Sertifikat Hak Milik,NORTH,7000000000.0
22750,Kelapa Gading,3,3,107,SHM - Sertifikat Hak Milik,NORTH,1790000000.0
16960,Taman Ratu,2,1,80,SHM - Sertifikat Hak Milik,WEST,1600000000.0
8236,Kapuk,4,4,360,SHM - Sertifikat Hak Milik,NORTH,5750000000.0
19118,Pantai Indah Kapuk,3,3,146,SHM - Sertifikat Hak Milik,NORTH,3500000000.0
2967,Duri Kosambi,4,4,176,SHM - Sertifikat Hak Milik,WEST,4000000000.0
3347,Joglo,4,3,218,SHM - Sertifikat Hak Milik,WEST,4600000000.0
6854,Rawamangun,4,4,160,SHM - Sertifikat Hak Milik,EAST,2800000000.0
7322,Pondok Kelapa,4,3,93,SHM - Sertifikat Hak Milik,EAST,1300000000.0
5542,Cipete,3,1,115,SHM - Sertifikat Hak Milik,SOUTH,2700000000.0
21398,Condet,3,3,135,Tanah Girik / Rincik / Kikitir,EAST,1250000000.0
7663,Jakarta Garden City/JGC,3,2,63,SHGB - Hak Guna Bangunan,EAST,1800000000.0
14286,Kamal,2,2,80,Sertifikat Belum Pecah,NORTH,1800000000.0
6208,Cipayung,3,2,75,SHM - Sertifikat Hak Milik,EAST,990000000.0
16072,Permata Buana,4,3,260,SHM - Sertifikat Hak Milik,WEST,4800000000.0
11245,Kali Deres,4,3,169,SHM - Sertifikat Hak Milik,WEST,3800000000.0
22630,Kelapa Gading,4,3,120,SHGB - Hak Guna Bangunan,NORTH,2300000000.0
19398,Kelapa Gading,5,4,350,SHM - Sertifikat Hak Milik,NORTH,6200000000.0
19287,Kelapa Gading,3,2,154,SHM - Sertifikat Hak Milik,NORTH,1800000000.0
13815,Pondok Kelapa,2,2,61,SHM - Sertifikat Hak Milik,EAST,1598000000.0
15586,Kemayoran,4,4,130,SHGB - Hak Guna Bangunan,CENTRAL,2550000000.0
6845,Cakung,3,3,69,SHM - Sertifikat Hak Milik,EAST,1700000000.0
8460,Tanjung Priok,2,1,42,SHM - Sertifikat Hak Milik,NORTH,473000000.0
11218,Cengkareng,4,3,150,SHM - Sertifikat Hak Milik,WEST,1250000000.0
8297,Pantai Indah Kapuk,3,3,200,SHM - Sertifikat Hak Milik,NORTH,5500000000.0
14150,Kamal,2,2,100,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,1650000000.0
13607,Condet,3,3,140,SHM - Sertifikat Hak Milik,EAST,2000000000.0
20066,Kembangan,3,2,200,SHM - Sertifikat Hak Milik,WEST,1500000000.0
6886,Cakung,5,4,144,SHGB - Hak Guna Bangunan,EAST,3819000000.0
19269,Pantai Indah Kapuk,3,2,75,SHM - Sertifikat Hak Milik,NORTH,1750000000.0
11021,Permata Buana,2,2,112,SHM - Sertifikat Hak Milik,WEST,3300000000.0
13821,Ciracas,4,3,100,SHM - Sertifikat Hak Milik,EAST,1275000000.0
14607,Pantai Indah Kapuk,3,2,160,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,3200000000.0
4971,Cipete,4,3,300,SHM - Sertifikat Hak Milik,SOUTH,6000000000.0
19710,Cempaka Putih,2,2,58,SHM - Sertifikat Hak Milik,CENTRAL,1068312000.0
7324,Kramat Jati,3,2,175,SHM - Sertifikat Hak Milik,EAST,4800000000.0
21521,Pulo Gadung,5,4,240,SHM - Sertifikat Hak Milik,EAST,4000000000.0
21382,Condet,2,1,35,AJB - Akta Jual Beli,EAST,400000000.0
12060,Jelambar,4,3,201,SHM - Sertifikat Hak Milik,WEST,2880000000.0
22329,Sunter,4,2,120,SHM - Sertifikat Hak Milik,NORTH,3450000000.0
6261,Ciracas,3,2,60,SHM - Sertifikat Hak Milik,EAST,825000000.0
2059,Palmerah,3,3,66,SHM - Sertifikat Hak Milik,WEST,1595000000.0
8935,Pantai Indah Kapuk,2,2,60,SHM - Sertifikat Hak Milik,NORTH,2300000000.0
3374,Tomang,4,4,170,SHM - Sertifikat Hak Milik,WEST,2300000000.0
14179,Kelapa Gading,3,3,144,SHM - Sertifikat Hak Milik,NORTH,5100000000.0
17694,Cakung,4,3,144,PPJB - Perjanjian Pengikatan Jual Beli,EAST,3900000000.0
13597,Cibubur,2,2,140,SHM - Sertifikat Hak Milik,EAST,1500000000.0
22211,Kelapa Gading,5,4,286,SHM - Sertifikat Hak Milik,NORTH,3100000000.0
13135,Cakung,3,1,55,SHM - Sertifikat Hak Milik,EAST,600000000.0
2963,Tomang,3,2,175,SHM - Sertifikat Hak Milik,WEST,1650000000.0
16870,Tanjung Duren,3,3,110,SHM - Sertifikat Hak Milik,WEST,1200000000.0
13788,Jakarta Garden City/JGC,5,4,200,PPJB - Perjanjian Pengikatan Jual Beli,EAST,3700000000.0
4544,Pancoran,5,4,230,SHM - Sertifikat Hak Milik,SOUTH,5500000000.0
12614,Pondok Gede,5,4,170,SHM - Sertifikat Hak Milik,EAST,1800000000.0
1449,Johar Baru,3,2,69,SHM - Sertifikat Hak Milik,CENTRAL,1524232333.0
6867,Rawamangun,3,2,67,SHM - Sertifikat Hak Milik,EAST,1400000000.0
22488,Sunter,5,3,1,SHM - Sertifikat Hak Milik,NORTH,2700000000.0
6239,Jakarta Garden City/JGC,4,3,230,SHM - Sertifikat Hak Milik,EAST,3600000000.0
1884,Sawah Besar,2,1,40,SHM - Sertifikat Hak Milik,CENTRAL,450000000.0
5585,Jagakarsa,5,4,175,SHM - Sertifikat Hak Milik,SOUTH,2950000000.0
13200,Cilangkap,3,2,72,SHM - Sertifikat Hak Milik,EAST,991000000.0
18982,Pantai Indah Kapuk,4,3,192,SHM - Sertifikat Hak Milik,NORTH,5765000000.0
905,Cempaka Putih,3,3,90,SHM - Sertifikat Hak Milik,CENTRAL,925000000.0
6768,Cipayung,3,2,70,SHM - Sertifikat Hak Milik,EAST,1290000000.0
4837,Jagakarsa,3,4,185,SHM - Sertifikat Hak Milik,SOUTH,3650000000.0
13377,Taman Modern,3,2,80,SHM - Sertifikat Hak Milik,EAST,1350000000.0
20251,Citra Garden,3,3,96,SHM - Sertifikat Hak Milik,WEST,2395000000.0
14349,Pantai Indah Kapuk,3,3,170,SHM - Sertifikat Hak Milik,NORTH,4600000000.0
5211,Kebayoran Baru,5,3,240,SHM - Sertifikat Hak Milik,SOUTH,4700000000.0
2061,Cengkareng,2,3,126,SHM - Sertifikat Hak Milik,WEST,2500000000.0
18904,Ancol,4,3,300,SHGB - Hak Guna Bangunan,NORTH,3950000000.0
8915,Pantai Indah Kapuk,4,4,120,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,2650000000.0
21191,Jakarta Garden City/JGC,3,3,63,SHGB - Hak Guna Bangunan,EAST,2000000000.0
2302,Meruya,4,4,170,SHM - Sertifikat Hak Milik,WEST,2300000000.0
14013,Kapuk Muara,3,2,70,SHM - Sertifikat Hak Milik,NORTH,1850000000.0
8696,Tanjung Priok,5,2,150,SHM - Sertifikat Hak Milik,NORTH,1000000000.0
14122,Pantai Indah Kapuk,3,3,193,SHM - Sertifikat Hak Milik,NORTH,6500000000.0
10842,Senen,2,2,42,SHM - Sertifikat Hak Milik,CENTRAL,880000000.0
7628,Kota Wisata Cibubur,4,4,350,SHGB - Hak Guna Bangunan,EAST,5250000000.0
2939,Kembangan,4,3,200,SHM - Sertifikat Hak Milik,WEST,4000000000.0
11752,Cengkareng,3,2,60,PPJB - Perjanjian Pengikatan Jual Beli,WEST,1500000000.0
16618,Meruya,2,2,90,SHM - Sertifikat Hak Milik,WEST,1500000000.0
17978,Kampung Ambon,3,2,120,SHM - Sertifikat Hak Milik,EAST,2500000000.0
16822,Jelambar,3,3,110,SHM - Sertifikat Hak Milik,WEST,2150000000.0
4519,Pesanggrahan,5,3,225,SHM - Sertifikat Hak Milik,SOUTH,1800000000.0
1131,Petojo Utara,3,2,150,SHM - Sertifikat Hak Milik,CENTRAL,6500000000.0
21044,Lubang Buaya,2,2,50,SHM - Sertifikat Hak Milik,EAST,699000000.0
10985,Puri Indah,2,2,41,SHM - Sertifikat Hak Milik,WEST,840000000.0
2507,Green Ville,4,3,150,SHM - Sertifikat Hak Milik,WEST,2150000000.0
16305,Kembangan,3,2,200,SHM - Sertifikat Hak Milik,WEST,2100000000.0
21333,Pasar Rebo,4,3,240,SHM - Sertifikat Hak Milik,EAST,1610000000.0
6368,Cilangkap,3,2,60,SHM - Sertifikat Hak Milik,EAST,800000000.0
1333,Cideng,3,3,245,SHM - Sertifikat Hak Milik,CENTRAL,6200000000.0
11621,Cengkareng,4,4,120,SHM - Sertifikat Hak Milik,WEST,2400000000.0
9630,Pantai Indah Kapuk,3,2,96,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,2703000000.0
16546,Cengkareng,3,3,126,SHM - Sertifikat Hak Milik,WEST,2950000000.0
15605,Gambir,3,3,200,SHM - Sertifikat Hak Milik,CENTRAL,3550000000.0
13482,Cakung,3,2,90,SHM - Sertifikat Hak Milik,EAST,1350000000.0
16232,Pegadungan,2,1,71,SHM - Sertifikat Hak Milik,WEST,1700000000.0
18651,Kelapa Gading,5,3,196,SHM - Sertifikat Hak Milik,NORTH,2950000000.0
10136,Cempaka Putih,2,1,60,SHM - Sertifikat Hak Milik,CENTRAL,1150000000.0
20113,Duri Kosambi,3,2,200,SHM - Sertifikat Hak Milik,WEST,2600000000.0
10218,Gambir,4,2,144,SHM - Sertifikat Hak Milik,CENTRAL,3500000000.0
8848,Pantai Indah Kapuk,3,3,170,SHM - Sertifikat Hak Milik,NORTH,4400000000.0
16267,Tanjung Duren,4,2,100,SHM - Sertifikat Hak Milik,WEST,1600000000.0
8205,Kamal,5,4,157,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,4700000000.0
15836,Kemayoran,4,4,300,SHGB - Hak Guna Bangunan,CENTRAL,6200000000.0
11152,Kebon Jeruk,5,4,360,SHM - Sertifikat Hak Milik,WEST,4400000000.0
22204,Pantai Indah Kapuk,3,3,200,SHM - Sertifikat Hak Milik,NORTH,5300000000.0
18936,Sunter,4,3,261,SHM - Sertifikat Hak Milik,NORTH,3950000000.0
22575,Pantai Indah Kapuk,3,2,135,SHM - Sertifikat Hak Milik,NORTH,3600000000.0
18830,Kelapa Gading,2,2,150,SHM - Sertifikat Hak Milik,NORTH,2800000000.0
18115,Pondok Kelapa,4,3,140,SHM - Sertifikat Hak Milik,EAST,2200000000.0
9334,Sunter,2,1,80,SHM - Sertifikat Hak Milik,NORTH,1600000000.0
18298,Condet,4,3,220,SHM - Sertifikat Hak Milik,EAST,2850000000.0
9605,Sunter,2,1,200,SHM - Sertifikat Hak Milik,NORTH,3000000000.0
6242,Cilangkap,3,2,78,SHM - Sertifikat Hak Milik,EAST,900000000.0
5950,Jagakarsa,5,4,200,SHM - Sertifikat Hak Milik,SOUTH,2300000000.0
21639,Cakung,5,4,220,PPJB - Perjanjian Pengikatan Jual Beli,EAST,3100000000.0
8306,Pantai Indah Kapuk,4,2,300,SHM - Sertifikat Hak Milik,NORTH,5000000000.0
7041,Jatinegara,5,2,150,SHM - Sertifikat Hak Milik,EAST,2750000000.0
8376,Kelapa Gading,3,2,140,SHM - Sertifikat Hak Milik,NORTH,2600000000.0
8502,Kelapa Gading,3,3,120,SHGB - Hak Guna Bangunan,NORTH,2075000000.0
3939,Tanjung Duren,5,3,120,SHM - Sertifikat Hak Milik,WEST,2200000000.0
14885,Kelapa Gading,3,2,90,SHM - Sertifikat Hak Milik,NORTH,1690000000.0
3054,Cengkareng,4,3,160,SHM - Sertifikat Hak Milik,WEST,4100000000.0
18582,Sunter,3,3,200,SHM - Sertifikat Hak Milik,NORTH,2500000000.0
17429,Ciracas,2,2,200,SHM - Sertifikat Hak Milik,EAST,2950000000.0
8366,Pantai Indah Kapuk,4,2,180,SHM - Sertifikat Hak Milik,NORTH,3500000000.0
20496,Kali Deres,3,2,99,SHM - Sertifikat Hak Milik,WEST,1575000000.0
5029,Jagakarsa,5,4,210,SHM - Sertifikat Hak Milik,SOUTH,3100000000.0
279,Johar Baru,3,2,50,SHM - Sertifikat Hak Milik,CENTRAL,650000000.0
19193,Kelapa Gading,3,3,90,SHM - Sertifikat Hak Milik,NORTH,1975000000.0
6586,Rawamangun,4,4,200,SHM - Sertifikat Hak Milik,EAST,4500000000.0
913,Thamrin,3,2,193,SHM - Sertifikat Hak Milik,CENTRAL,4000000000.0
7962,Pantai Indah Kapuk,3,2,84,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,2300000000.0
14987,Pantai Indah Kapuk,4,4,120,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,4500000000.0
11682,Cengkareng,2,2,121,SHM - Sertifikat Hak Milik,WEST,2500000000.0
11306,Kali Deres,3,2,105,SHM - Sertifikat Hak Milik,WEST,1800000000.0
18941,Kamal,4,4,127,Sertifikat Belum Pecah,NORTH,3300000000.0
16488,Tomang,5,3,225,SHM - Sertifikat Hak Milik,WEST,3800000000.0
18139,Jakarta Garden City/JGC,5,4,160,PPJB - Perjanjian Pengikatan Jual Beli,EAST,2600000000.0
22241,Muara Karang,3,2,200,SHM - Sertifikat Hak Milik,NORTH,4400000000.0
5989,Cipinang,2,3,54,SHM - Sertifikat Hak Milik,EAST,910200000.0
22664,Sunter,3,3,150,SHM - Sertifikat Hak Milik,NORTH,3850000000.0
8284,Pantai Indah Kapuk,4,3,192,SHM - Sertifikat Hak Milik,NORTH,5350000000.0
10904,Permata Buana,4,3,250,SHM - Sertifikat Hak Milik,WEST,4200000000.0
11954,Cengkareng,5,4,250,SHM - Sertifikat Hak Milik,WEST,2900000000.0
7781,Jakarta Garden City/JGC,2,2,87,PPJB - Perjanjian Pengikatan Jual Beli,EAST,2900000000.0
9744,Pantai Indah Kapuk,3,2,96,SHM - Sertifikat Hak Milik,NORTH,3500000000.0
16867,Jelambar,4,3,15,SHM - Sertifikat Hak Milik,WEST,2400000000.0
2914,Jelambar,2,3,180,SHM - Sertifikat Hak Milik,WEST,2050000000.0
6419,Rawamangun,3,2,120,SHM - Sertifikat Hak Milik,EAST,2400000000.0
12602,Pisangan Lama,2,2,58,SHM - Sertifikat Hak Milik,EAST,796620000.0
7684,Cibubur,4,4,214,SHM - Sertifikat Hak Milik,EAST,3000000000.0
22217,Sunter,3,3,156,SHM - Sertifikat Hak Milik,NORTH,6000000000.0
17502,Cilangkap,3,2,70,SHM - Sertifikat Hak Milik,EAST,850000000.0
18500,Penjaringan,2,2,136,SHM - Sertifikat Hak Milik,NORTH,1750000000.0
11558,Jelambar,3,3,252,SHM - Sertifikat Hak Milik,WEST,2800000000.0
10903,Permata Buana,4,3,200,SHM - Sertifikat Hak Milik,WEST,4300000000.0
12879,Cibubur,5,4,260,SHM - Sertifikat Hak Milik,EAST,2500000000.0
2855,Duri Kosambi,3,3,240,SHM - Sertifikat Hak Milik,WEST,3650000000.0
12576,Cipinang,3,3,77,SHM - Sertifikat Hak Milik,EAST,1153400000.0
11341,Puri Indah,2,2,200,SHM - Sertifikat Hak Milik,WEST,4050000000.0
2187,Joglo,2,1,36,SHGB - Hak Guna Bangunan,WEST,650000000.0
17521,Cakung,3,1,204,SHGB - Hak Guna Bangunan,EAST,1900000000.0
11950,Cengkareng,4,3,280,SHM - Sertifikat Hak Milik,WEST,4600000000.0
4048,Petukangan,3,2,60,SHM - Sertifikat Hak Milik,SOUTH,700000000.0
7348,Cakung,5,3,200,SHM - Sertifikat Hak Milik,EAST,2700000000.0
296,Salemba,4,2,200,SHM - Sertifikat Hak Milik,CENTRAL,1600000000.0
18898,Muara Karang,3,3,240,SHM - Sertifikat Hak Milik,NORTH,4500000000.0
19469,Kemayoran,2,2,40,SHM - Sertifikat Hak Milik,CENTRAL,477000000.0
20505,Kebon Jeruk,3,4,174,SHM - Sertifikat Hak Milik,WEST,4288000000.0
18809,Cilincing,3,2,148,SHM - Sertifikat Hak Milik,NORTH,990000000.0
16078,Mangga Besar,2,3,65,SHM - Sertifikat Hak Milik,WEST,475000000.0
13932,Pantai Indah Kapuk,3,3,87,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,2200000000.0
12839,Cipinang,3,3,81,SHM - Sertifikat Hak Milik,EAST,1600000000.0
1711,Senen,4,2,160,SHM - Sertifikat Hak Milik,CENTRAL,2500000000.0
2441,Kembangan,4,4,139,SHM - Sertifikat Hak Milik,WEST,3800000000.0
7645,Jakarta Garden City/JGC,3,2,63,SHGB - Hak Guna Bangunan,EAST,1800000000.0
10178,Kemayoran,5,3,176,SHM - Sertifikat Hak Milik,CENTRAL,4000000000.0
21803,Pulomas,4,4,208,SHGB - Hak Guna Bangunan,EAST,175000000.0
10921,Tomang,3,2,300,SHM - Sertifikat Hak Milik,WEST,6900000000.0
13071,Pondok Kelapa,4,3,120,SHM - Sertifikat Hak Milik,EAST,2200000000.0
13707,Jatinegara,3,3,68,SHM - Sertifikat Hak Milik,EAST,1000000000.0
20161,Tomang,3,2,120,None,WEST,3000000000.0
18261,Pondok Kelapa,3,3,280,SHM - Sertifikat Hak Milik,EAST,2650000000.0
18587,Kelapa Gading,4,3,155,SHM - Sertifikat Hak Milik,NORTH,3100000000.0
6603,Rawamangun,4,3,135,SHM - Sertifikat Hak Milik,EAST,2600000000.0
21496,Pulo Asem,3,2,80,SHM - Sertifikat Hak Milik,EAST,2100000000.0
12716,Jakarta Garden City/JGC,4,4,208,SHGB - Hak Guna Bangunan,EAST,2700000000.0
21735,Cakung,5,4,228,SHM - Sertifikat Hak Milik,EAST,4000000000.0
11272,Jl. Joglo Raya,5,3,225,None,WEST,1500000000.0
7166,Cipinang,4,4,240,SHM - Sertifikat Hak Milik,EAST,6800000000.0
6153,Cibubur,2,1,50,SHM - Sertifikat Hak Milik,EAST,799000000.0
7150,Makasar,4,2,130,AJB - Akta Jual Beli,EAST,900000000.0
7002,Kayu Putih,3,3,200,SHM - Sertifikat Hak Milik,EAST,3800000000.0
20631,Daan Mogot,5,4,270,SHM - Sertifikat Hak Milik,WEST,7000000000.0
16462,Pegadungan,4,3,224,Sertifikat Belum Pecah,WEST,3400000000.0
19357,Pantai Indah Kapuk,4,4,200,SHM - Sertifikat Hak Milik,NORTH,6500000000.0
8913,Pademangan,3,3,125,SHM - Sertifikat Hak Milik,NORTH,2900000000.0
2500,Duri Kosambi,3,2,120,SHM - Sertifikat Hak Milik,WEST,2750000000.0
14512,Pantai Indah Kapuk,2,1,79,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,2200000000.0
11651,Joglo,3,3,147,SHM - Sertifikat Hak Milik,WEST,1990000000.0
15721,Cempaka Putih,3,2,140,SHM - Sertifikat Hak Milik,CENTRAL,2900000000.0
2669,Kebon Jeruk,3,2,65,SHM - Sertifikat Hak Milik,WEST,920000000.0
10390,Petojo Utara,4,3,120,SHM - Sertifikat Hak Milik,CENTRAL,2900000000.0
3199,Jl. Kembangan Raya,4,3,250,SHM - Sertifikat Hak Milik,WEST,6750000000.0
357,Cempaka Putih,2,1,60,SHM - Sertifikat Hak Milik,CENTRAL,400000000.0
9763,Pantai Indah Kapuk,2,1,120,SHM - Sertifikat Hak Milik,NORTH,1900000000.0
16969,Cengkareng,2,2,48,SHM - Sertifikat Hak Milik,WEST,574010448.0
11264,Kali Deres,2,1,72,SHM - Sertifikat Hak Milik,WEST,1425000000.0
18885,Kamal,4,4,200,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,5350000000.0
18716,Muara Karang,3,2,262,SHM - Sertifikat Hak Milik,NORTH,3600000000.0
13296,Cakung,3,2,81,SHM - Sertifikat Hak Milik,EAST,1850000000.0
7446,Pondok Gede,5,2,105,SHM - Sertifikat Hak Milik,EAST,950000000.0
21625,Kampung Ambon,5,4,140,SHM - Sertifikat Hak Milik,EAST,3000000000.0
17335,Cawang,3,2,110,SHM - Sertifikat Hak Milik,EAST,2750000000.0
7501,Cakung,4,2,150,SHM - Sertifikat Hak Milik,EAST,2100000000.0
12010,Joglo,3,2,50,SHM - Sertifikat Hak Milik,WEST,650000000.0
1639,Salemba,3,2,136,SHM - Sertifikat Hak Milik,CENTRAL,6200000000.0
8295,Pantai Indah Kapuk,4,4,180,SHGB - Hak Guna Bangunan,NORTH,5200000000.0
15659,Kemayoran,2,3,150,SHM - Sertifikat Hak Milik,CENTRAL,2000000000.0
1321,Kemayoran,3,3,180,SHM - Sertifikat Hak Milik,CENTRAL,2250000000.0
12025,Kota,3,3,222,SHM - Sertifikat Hak Milik,WEST,4400000000.0
9390,Muara Karang,4,4,272,SHM - Sertifikat Hak Milik,NORTH,6100000000.0
18101,Duren Sawit,3,2,80,SHM - Sertifikat Hak Milik,EAST,1794000000.0
20897,Taman Mini,4,3,165,SHM - Sertifikat Hak Milik,EAST,2900000000.0
3946,Tanjung Duren,4,4,150,SHM - Sertifikat Hak Milik,WEST,1900000000.0
3578,Duri Kepa,4,2,150,SHM - Sertifikat Hak Milik,WEST,2200000000.0
20940,Jakarta Garden City/JGC,3,2,88,SHGB - Hak Guna Bangunan,EAST,1959000000.0
21266,Pulo Gebang,3,1,100,SHGB - Hak Guna Bangunan,EAST,1300000000.0
