,Price,Street Address,Bed,Bath,Listing Area,Certificate,Jakarta Division
51,1475000000.0,Cempaka Putih,4,4,88,SHM - Sertifikat Hak Milik,CENTRAL
52,1068312000.0,Cempaka Putih,3,3,88,SHM - Sertifikat Hak Milik,CENTRAL
53,781000000.0,Senen,2,2,50,SHM - Sertifikat Hak Milik,CENTRAL
54,506600000.0,Cempaka Putih,2,2,43,SHM - Sertifikat Hak Milik,CENTRAL
55,5800000000.0,Kemayoran,5,3,260,SHM - Sertifikat Hak Milik,CENTRAL
57,1050000000.0,Cempaka Putih,2,2,58,SHGB - Hak Guna Bangunan,CENTRAL
58,1900000000.0,Cempaka Putih,2,2,110,SHM - Sertifikat Hak Milik,CENTRAL
60,3300000000.0,Cempaka Putih,4,3,150,SHM - Sertifikat Hak Milik,CENTRAL
61,5000000000.0,Cempaka Putih,5,3,150,SHM - Sertifikat Hak Milik,CENTRAL
63,486200000.0,Cempaka Putih,2,2,42,SHM - Sertifikat Hak Milik,CENTRAL
64,4500000000.0,Senen,2,1,120,SHM - Sertifikat Hak Milik,CENTRAL
65,1068312000.0,Cempaka Putih,2,3,58,SHM - Sertifikat Hak Milik,CENTRAL
67,2150000000.0,Tanah Abang,3,3,107,SHM - Sertifikat Hak Milik,CENTRAL
68,900000000.0,Senen,3,2,55,SHM - Sertifikat Hak Milik,CENTRAL
69,900000000.0,Salemba,3,2,55,SHM - Sertifikat Hak Milik,CENTRAL
73,1186672000.0,Cempaka Putih,2,3,62,SHM - Sertifikat Hak Milik,CENTRAL
74,3360000000.0,Tanah Abang,3,3,110,SHM - Sertifikat Hak Milik,CENTRAL
75,1700000000.0,Gunung Sahari,3,2,124,SHM - Sertifikat Hak Milik,CENTRAL
77,553200000.0,Kemayoran,2,2,46,SHM - Sertifikat Hak Milik,CENTRAL
78,1068000000.0,Cempaka Putih,3,2,93,SHM - Sertifikat Hak Milik,CENTRAL
79,1750000000.0,Senen,3,2,123,SHM - Sertifikat Hak Milik,CENTRAL
82,781000000.0,Senen,3,3,50,SHM - Sertifikat Hak Milik,CENTRAL
83,907500000.0,Johar Baru,2,2,55,SHM - Sertifikat Hak Milik,CENTRAL
85,2600000000.0,Cempaka Putih,4,3,78,SHM - Sertifikat Hak Milik,CENTRAL
86,1501888000.0,Cempaka Putih,3,2,67,SHM - Sertifikat Hak Milik,CENTRAL
88,932500000.0,Senen,3,3,60,SHM - Sertifikat Hak Milik,CENTRAL
89,1050000000.0,Senen,2,2,72,SHM - Sertifikat Hak Milik,CENTRAL
90,1325000000.0,Menteng,3,3,80,SHM - Sertifikat Hak Milik,CENTRAL
91,4250000000.0,Johar Baru,4,3,197,SHM - Sertifikat Hak Milik,CENTRAL
93,2962000000.0,Cempaka Putih,3,2,92,SHM - Sertifikat Hak Milik,CENTRAL
100,1272368000.0,Cempaka Putih,3,3,90,SHM - Sertifikat Hak Milik,CENTRAL
101,6800000000.0,Tanah Abang,4,3,195,SHM - Sertifikat Hak Milik,CENTRAL
105,687000000.0,Gambir,2,1,38,SHM - Sertifikat Hak Milik,CENTRAL
106,516400000.0,Kemayoran,2,1,42,SHM - Sertifikat Hak Milik,CENTRAL
107,887800000.0,Kemayoran,2,2,69,SHM - Sertifikat Hak Milik,CENTRAL
110,260000000.0,Sudirman,2,1,27,SHM - Sertifikat Hak Milik,CENTRAL
114,4250000000.0,Johar Baru,3,3,197,SHM - Sertifikat Hak Milik,CENTRAL
115,781000000.0,Senen,3,3,50,SHM - Sertifikat Hak Milik,CENTRAL
116,4900000000.0,Cempaka Putih,5,4,280,SHM - Sertifikat Hak Milik,CENTRAL
117,1200000000.0,Cempaka Putih,3,2,80,SHGB - Hak Guna Bangunan,CENTRAL
