Price,Street Address,Bed,Bath,Listing Area,Certificate,Jakarta Division
2100000000.0,Johar Baru,3,2,80,SHM - Sertifikat Hak Milik,CENTRAL
2950000000.0,Kemayoran,4,3,181,SHM - Sertifikat Hak Milik,CENTRAL
2912389999.0,Menteng,3,2,132,SHM - Sertifikat Hak Milik,CENTRAL
2912389999.0,Kemayoran,3,2,132,SHM - Sertifikat Hak Milik,CENTRAL
2912389990.0,Kemayoran,3,2,132,SHM - Sertifikat Hak Milik,CENTRAL
3500000000.0,Cempaka Putih,4,2,200,SHM - Sertifikat Hak Milik,CENTRAL
4300000000.0,Tanah Abang,3,3,210,SHM - Sertifikat Hak Milik,CENTRAL
1350000000.0,Sawah Besar,3,2,98,SHM - Sertifikat Hak Milik,CENTRAL
1350000000.0,Sawah Besar,3,2,98,SHM - Sertifikat Hak Milik,CENTRAL
2500000000.0,Kemayoran,3,2,170,SHM - Sertifikat Hak Milik,CENTRAL
1700000000.0,Gambir,3,2,83,SHM - Sertifikat Hak Milik,CENTRAL
900000000.0,Cempaka Putih,4,2,78,SHM - Sertifikat Hak Milik,CENTRAL
550000000.0,Kemayoran,2,2,45,SHM - Sertifikat Hak Milik,CENTRAL
2650000000.0,Gunung Sahari,5,4,180,SHM - Sertifikat Hak Milik,CENTRAL
1600000000.0,Cempaka Putih,4,2,90,SHM - Sertifikat Hak Milik,CENTRAL
4500000000.0,Kemayoran,4,4,200,SHM - Sertifikat Hak Milik,CENTRAL
3500000000.0,Kemayoran,5,2,150,SHM - Sertifikat Hak Milik,CENTRAL
2200000000.0,Kemayoran,4,4,175,SHM - Sertifikat Hak Milik,CENTRAL
4250000000.0,Bendungan Hilir,3,3,160,SHGB - Hak Guna Bangunan,CENTRAL
835000000.0,Salemba,2,2,71,SHM - Sertifikat Hak Milik,CENTRAL
2500000000.0,Kemayoran,3,2,170,SHM - Sertifikat Hak Milik,CENTRAL
850000000.0,Kemayoran,3,2,70,SHM - Sertifikat Hak Milik,CENTRAL
3500000000.0,Kemayoran,3,2,250,SHM - Sertifikat Hak Milik,CENTRAL
3700000000.0,Petojo Utara,3,4,220,SHM - Sertifikat Hak Milik,CENTRAL
1500000000.0,Kemayoran,3,2,110,SHM - Sertifikat Hak Milik,CENTRAL
3200000000.0,Tanah Abang,3,2,170,SHM - Sertifikat Hak Milik,CENTRAL
1575000000.0,Cempaka Putih,4,2,120,SHM - Sertifikat Hak Milik,CENTRAL
2500000000.0,Cempaka Putih,4,2,126,SHM - Sertifikat Hak Milik,CENTRAL
3000000000.0,Kemayoran,3,2,120,SHM - Sertifikat Hak Milik,CENTRAL
486000000.0,Kemayoran,2,2,43,SHM - Sertifikat Hak Milik,CENTRAL
925000000.0,Cempaka Putih,3,3,90,SHM - Sertifikat Hak Milik,CENTRAL
4650000000.0,Cempaka Putih,4,4,146,SHM - Sertifikat Hak Milik,CENTRAL
3000000000.0,Cempaka Putih,4,4,149,SHM - Sertifikat Hak Milik,CENTRAL
170000000.0,Menteng,4,3,150,SHM - Sertifikat Hak Milik,CENTRAL
5350000000.0,Cempaka Putih,3,3,114,SHM - Sertifikat Hak Milik,CENTRAL
4500000000.0,Duri Pulo,4,2,225,SHM - Sertifikat Hak Milik,CENTRAL
2750000000.0,Johar Baru,4,3,150,SHM - Sertifikat Hak Milik,CENTRAL
1875000000.0,Kemayoran,5,3,200,SHM - Sertifikat Hak Milik,CENTRAL
985000000.0,Johar Baru,3,2,100,SHM - Sertifikat Hak Milik,CENTRAL
3300000000.0,Cempaka Putih,5,4,150,SHM - Sertifikat Hak Milik,CENTRAL
2900000000.0,Sawah Besar,3,2,180,SHM - Sertifikat Hak Milik,CENTRAL
2900000000.0,Sawah Besar,3,2,180,SHM - Sertifikat Hak Milik,CENTRAL
1350000000.0,Sawah Besar,3,2,98,SHM - Sertifikat Hak Milik,CENTRAL
2900000000.0,Sawah Besar,3,2,180,SHM - Sertifikat Hak Milik,CENTRAL
800000000.0,Kemayoran,2,2,59,SHM - Sertifikat Hak Milik,CENTRAL
2500000000.0,Kemayoran,3,2,100,SHM - Sertifikat Hak Milik,CENTRAL
3000000000.0,Gambir,2,2,136,SHM - Sertifikat Hak Milik,CENTRAL
1274368000.0,Cempaka Putih,2,2,58,SHM - Sertifikat Hak Milik,CENTRAL
2900000000.0,Cempaka Putih,4,3,92,SHM - Sertifikat Hak Milik,CENTRAL
1350000000.0,Sawah Besar,3,2,98,SHM - Sertifikat Hak Milik,CENTRAL
1350000000.0,Sawah Besar,3,2,98,SHM - Sertifikat Hak Milik,CENTRAL
1350000000.0,Sawah Besar,3,2,98,SHM - Sertifikat Hak Milik,CENTRAL
1350000000.0,Sawah Besar,3,2,98,SHM - Sertifikat Hak Milik,CENTRAL
1200000000.0,Kemayoran,2,2,100,SHM - Sertifikat Hak Milik,CENTRAL
1500000000.0,Sawah Besar,3,2,98,SHM - Sertifikat Hak Milik,CENTRAL
2500000000.0,Gambir,3,2,210,SHM - Sertifikat Hak Milik,CENTRAL
1350000000.0,Sawah Besar,3,2,98,SHM - Sertifikat Hak Milik,CENTRAL
550000000.0,Sawah Besar,4,2,100,SHGB - Hak Guna Bangunan,CENTRAL
2750000000.0,Johar Baru,4,3,143,SHM - Sertifikat Hak Milik,CENTRAL
3950000000.0,Cideng,3,2,110,SHM - Sertifikat Hak Milik,CENTRAL
2200000000.0,Gambir,3,2,82,SHM - Sertifikat Hak Milik,CENTRAL
1050000000.0,Gunung Sahari,2,2,120,SHGB - Hak Guna Bangunan,CENTRAL
1523689000.0,Roxy,3,2,69,SHM - Sertifikat Hak Milik,CENTRAL
6318290000.0,Sawah Besar,4,3,208,SHM - Sertifikat Hak Milik,CENTRAL
1875000000.0,Cempaka Putih,4,3,200,SHM - Sertifikat Hak Milik,CENTRAL
900000000.0,Senen,3,2,55,SHM - Sertifikat Hak Milik,CENTRAL
900000000.0,Menteng,3,2,55,SHM - Sertifikat Hak Milik,CENTRAL
900000000.0,Cempaka Putih,3,2,54,SHM - Sertifikat Hak Milik,CENTRAL
900000000.0,Sudirman,3,2,55,SHM - Sertifikat Hak Milik,CENTRAL
4500000000.0,Cempaka Putih,4,4,250,SHM - Sertifikat Hak Milik,CENTRAL
3900000000.0,Johar Baru,4,4,200,SHM - Sertifikat Hak Milik,CENTRAL
3500000000.0,Cempaka Putih,3,2,157,SHM - Sertifikat Hak Milik,CENTRAL
1523812390.0,Glodok,3,2,69,SHM - Sertifikat Hak Milik,CENTRAL
1523823100.0,Sudirman,3,2,69,SHM - Sertifikat Hak Milik,CENTRAL
3500000000.0,Kemayoran,4,2,150,SHM - Sertifikat Hak Milik,CENTRAL
850000000.0,Kemayoran,2,2,60,SHM - Sertifikat Hak Milik,CENTRAL
2600000000.0,Johar Baru,4,4,200,SHM - Sertifikat Hak Milik,CENTRAL
2600000000.0,Johar Baru,4,3,210,SHM - Sertifikat Hak Milik,CENTRAL
1900000000.0,Johar Baru,2,2,76,SHM - Sertifikat Hak Milik,CENTRAL
1800000000.0,Cempaka Putih,3,2,120,SHM - Sertifikat Hak Milik,CENTRAL
4000000000.0,Menteng,5,2,175,SHM - Sertifikat Hak Milik,CENTRAL
3200000000.0,Cempaka Putih,5,3,174,SHM - Sertifikat Hak Milik,CENTRAL
